(38.2722313, -90.1792484)
(39.8700035, -94.139947)
(42.333551, -92.0557089)
(44.8877401, -94.3697057)
(32.7597192, -97.4214547)
(35.0073697, -80.9450759)
(34.6981064, -118.1366153)
(36.4688705, -86.66533380000001)
(35.8667112, -83.5620518)
(35.4726626, -77.4155203)
(41.7209267, -73.9601382)
(42.6289858, -78.7376213)
(36.4639736, -95.0477401)
(30.3582305, -90.0657477)
(43.90430205, -91.10410630417958)
(43.1108076, -94.6781897)
(40.8088861, -96.7077751)
(38.655124, -94.3471072)
(43.6662166, -89.7783771)
(39.5184514, -104.7612638)
(30.6077379, -81.4600909)
(35.803802000000005, -95.25792674827194)
(44.7980186, -93.5268986)
(39.1697626, -91.8829484)
(37.1533554, -98.0311728)
(33.9528472, -84.5496148)
(32.8546197, -79.9748103)
(40.1948848, -92.5833939)
(40.125222, -87.6304614)
(33.6680772, -117.3272615)
(33.4151005, -111.831455)
(33.3315804, -105.673099)
(35.6677078, -95.9690122)
(35.8911848, -84.6207712)
(47.0990689, -122.637546)
(38.3396367, -122.7010984)
(36.3883031, -86.4475898)
(32.5178284, -87.8368201)
(37.9317766, -121.696026)
(39.14063875, -94.40298628681785)
(44.919896, -92.9339449)
(44.7606441, -85.6165301)
(39.063956, -108.5507317)
(37.8609747, -78.2633373)
(41.6833813, -86.2500066)
(41.7579043, -70.4968152)
(38.8817784, -78.5058429)
(35.5342414, -87.206954)
(35.2081695, -82.2384479)
(40.5807546, -111.6572955)
(41.4345426, -72.1097996)
(38.4108801, -87.7614174)
(39.1670396, -86.5342881)
(32.309077, -111.0826201)
(35.0568053, -94.6199966)
(43.0342874, -85.6655303)
(38.1770634, -75.3926959)
(36.374499, -99.2455382)
(37.3481539, -82.9551631)
(43.4887907, -112.03628)
(29.8826436, -97.9405828)
(42.3294391, -88.4605713)
(41.4086874, -75.6621294)
(35.7972998, -84.2560299)
(40.6526006, -73.9497211)
(40.7985464, -81.3749508)
(35.8275672, -86.0716565)
(34.9381361, -82.2272119)
(36.1072175, -82.444068)
(35.9423833, -77.7956949)
(46.5480749, -110.9034718)
(41.8537098, -71.7581249)
(36.0005035, -96.1049612)
(40.0167925, -90.4345418)
(37.6659781, -77.506374)
(39.017316, -94.282265)
(42.376782, -122.912721)
(45.38556955, -71.4461397807573)
(36.9823313, -76.6310242)
(34.6183433, -79.0083993)
(38.4087993, -121.3716178)
(31.5311784, -84.614328)
(35.399308, -80.4358963)
(39.5137752, -121.556359)
(43.074761, -89.3837613)
(28.2918995, -81.4075838)
(40.8814695, -123.98743510725846)
(42.1579214, -78.7151629)
(36.1156306, -97.0585717)
(40.740465, -93.7465075)
(41.5644476, -93.7594059)
(37.5697869, -85.2527381)
(30.282839799999998, -87.62460710389821)
(39.7412703, -94.2384482)
(39.6411589, -85.1410748)
(41.7464972, -74.0844894)
(39.2805222, -94.9278791)
(39.0719844, -91.5701623)
(39.3722552, -104.8586826)
(33.870413, -117.9962165)
(35.1998023, -87.0308412)
(52.6809596, -1.4914217)
(41.353844, -90.3814248)
(43.0630734, -86.2283864)
(35.6054921, -85.1892276)
(42.4393707, -123.3272489)
(32.8546197, -79.9748103)
(37.636275, -76.5754321)
(32.3132159, -89.7989402)
(44.9898128, -93.1762507)
(38.3450104, -98.2017268)
(33.5855677, -101.8470215)
(39.2681145, -84.4132779)
(34.2073196, -84.1401926)
(39.7392364, -104.984862)
(42.5006243, -90.6647985)
(36.1459327, -87.3480592)
(35.7079146, -79.8136446)
(38.8856158, -94.2117959)
(40.0028514, -75.2707469)
(40.6528603, -112.0046186)
(44.5683003, -92.7385321)
(35.2045329, -89.8739753)
(33.7192808, -116.2188054)
(38.8402805, -97.6114237)
(51.43695765, -0.18772208154172754)
(39.0924792, -94.4137923)
(35.532198, -97.9550578)
(46.490586, -84.359269)
(39.4497639, -75.7166345)
(44.2613967, -88.4069744)
(36.1584651, -81.1475841)
(42.8742651, -72.2815335)
(35.7454291, -81.6870837)
(42.5763523, -71.9952737)
(42.4473175, -71.2245003)
(42.3238056, -83.4005321)
(40.5247777, -111.8627989)
(39.212355, -94.4818921)
(32.5135356, -93.7477839)
(38.6808958, -85.1793979)
(36.1394339, -96.1100025)
(44.0998341, -87.827992)
(38.6609239, -96.491958)
(38.92304395, -94.76512178917098)
